,region,Year,educ Growth Rank,Prosperity Growth Rank
0,Africa,2008,2.0,3.0
1,Americas,2008,1.0,4.0
2,Asia,2008,3.0,1.0
3,Europe,2008,5.0,2.0
4,Oceania,2008,4.0,5.0
5,Africa,2009,2.0,1.0
6,Americas,2009,3.0,3.0
7,Asia,2009,1.0,2.0
8,Europe,2009,4.0,5.0
9,Oceania,2009,5.0,4.0
10,Africa,2010,1.0,2.0
11,Americas,2010,4.0,3.0
12,Asia,2010,2.0,5.0
13,Europe,2010,3.0,1.0
14,Oceania,2010,5.0,4.0
15,Africa,2011,1.0,1.0
16,Americas,2011,2.0,2.0
17,Asia,2011,3.0,3.0
18,Europe,2011,4.0,4.0
19,Oceania,2011,5.0,5.0
20,Africa,2012,4.0,3.0
21,Americas,2012,2.0,1.0
22,Asia,2012,1.0,2.0
23,Europe,2012,3.0,4.0
24,Oceania,2012,5.0,5.0
25,Africa,2013,3.0,4.0
26,Americas,2013,5.0,5.0
27,Asia,2013,4.0,2.0
28,Europe,2013,1.0,3.0
29,Oceania,2013,2.0,1.0
30,Africa,2014,5.0,4.0
31,Americas,2014,1.0,2.0
32,Asia,2014,4.0,3.0
33,Europe,2014,2.0,1.0
34,Oceania,2014,3.0,5.0
