,isocode,educ,rank_educ,country
0,AFG,22.494400024414062,143,Afghanistan
1,AGO,35.91666793823242,125,Angola
2,ALB,56.31841278076172,72,Albania
3,ARE,59.94295501708984,52,United Arab Emirates
4,ARG,51.99555206298828,92,Argentina
5,ARM,59.18342590332031,61,Armenia
6,AUS,78.74781036376953,3,Australia
7,AUT,76.01275634765625,13,Austria
8,AZE,61.391239166259766,46,Azerbaijan
9,BDI,27.288427352905277,136,Burundi
10,BEL,78.60084533691406,5,Belgium
11,BEN,25.514373779296875,141,Benin
12,BFA,21.897518157958984,145,Burkina Faso
13,BGD,36.68133163452149,123,Bangladesh
14,BGR,62.44620513916016,45,Bulgaria
15,BHR,62.83097076416016,43,Bahrain
16,BLR,62.94303131103516,41,Belarus
17,BLZ,51.44474029541016,96,Belize
18,BOL,53.03932571411133,84,Bolivia
19,BRA,52.86373519897461,87,Brazil
20,BWA,55.16961288452149,74,Botswana
21,CAF,14.890825271606444,148,Central African Republic
22,CAN,76.57344818115234,11,Canada
23,CHE,76.62126159667969,9,Switzerland
24,CHL,65.61698913574219,30,Chile
25,CHN,64.33670806884766,33,China
26,CIV,26.36052894592285,138,Ivory Coast
27,CMR,39.13436508178711,117,Cameroon
28,COD,25.522464752197266,140,Democratic Republic of Congo
29,COG,38.72206497192383,119,Congo
30,COL,52.01865005493164,91,Colombia
31,COM,28.475486755371094,133,Comoros
32,CRI,60.03422164916992,51,Costa Rica
33,CYP,59.57119369506836,56,Cyprus
34,CZE,68.36031341552734,25,Czech Republic
35,DEU,74.63958740234375,16,Germany
36,DJI,51.19594192504883,98,Djibouti
37,DNK,77.94743347167969,7,Denmark
38,DOM,49.69100570678711,101,Dominican Republic
39,DZA,52.91832733154297,85,Algeria
40,ECU,51.57505416870117,94,Ecuador
41,EGY,51.60615539550781,93,Egypt
42,ESP,70.2579345703125,23,Spain
43,EST,64.99907684326172,32,Estonia
44,ETH,31.0113582611084,130,Ethiopia
45,FIN,76.45640563964844,12,Finland
46,FRA,72.60662841796875,19,France
47,GAB,47.51426696777344,105,Gabon
48,GBR,75.5850830078125,14,United Kingdom
49,GEO,58.83165740966797,64,Georgia
50,GHA,44.05804061889648,112,Ghana
51,GIN,22.239288330078125,144,Guinea
52,GRC,59.16713333129883,62,Greece
53,GTM,45.47670364379883,109,Guatemala
54,GUY,52.40874862670898,89,Guyana
55,HKG,73.34815216064453,17,Hong Kong
56,HND,51.528133392333984,95,Honduras
57,HRV,64.21524047851562,34,Croatia
58,HUN,62.98116302490234,40,Hungary
59,IDN,53.14390182495117,82,Indonesia
60,IND,46.92000579833984,106,India
61,IRL,76.57611846923828,10,Ireland
62,IRN,53.40831756591797,80,Iran
63,IRQ,36.0426139831543,124,Iraq
64,ISL,66.26317596435547,27,Iceland
65,ISR,71.31610870361328,21,Israel
