,isocode,heal,rank_heal,country
0,AFG,51.600807189941406,140,Afghanistan
1,AGO,57.91400527954102,123,Angola
2,ALB,74.52774810791016,45,Albania
3,ARE,77.57512664794922,34,United Arab Emirates
4,ARG,74.43910217285156,48,Argentina
5,ARM,67.91763305664061,90,Armenia
6,AUS,80.61089324951172,13,Australia
7,AUT,79.66332244873047,16,Austria
8,AZE,63.36712646484375,104,Azerbaijan
9,BDI,60.89915466308594,113,Burundi
10,BEL,81.34881591796875,7,Belgium
11,BEN,54.60943603515625,134,Benin
12,BFA,58.92871475219727,118,Burkina Faso
13,BGD,65.07501220703125,99,Bangladesh
14,BGR,68.90377044677734,84,Bulgaria
15,BHR,77.6536865234375,33,Bahrain
16,BLR,67.52825164794922,92,Belarus
17,BLZ,72.72271728515625,61,Belize
18,BOL,63.9848518371582,101,Bolivia
19,BRA,72.31058502197266,65,Brazil
20,BWA,68.91158294677734,83,Botswana
21,CAF,48.61004638671875,147,Central African Republic
22,CAN,80.3747329711914,14,Canada
23,CHE,82.21589660644531,5,Switzerland
24,CHL,73.8956069946289,53,Chile
25,CHN,72.5484619140625,63,China
26,CIV,52.79853820800781,138,Ivory Coast
27,CMR,57.42636489868164,125,Cameroon
28,COD,49.67464447021485,145,Democratic Republic of Congo
29,COG,51.10459899902344,141,Congo
30,COL,72.91250610351562,60,Colombia
31,COM,54.62810516357422,133,Comoros
32,CRI,77.83390045166016,30,Costa Rica
33,CYP,77.74566650390625,31,Cyprus
34,CZE,77.41789245605469,35,Czech Republic
35,DEU,80.6650161743164,11,Germany
36,DJI,62.401817321777344,109,Djibouti
37,DNK,78.4373550415039,26,Denmark
38,DOM,70.62284088134766,74,Dominican Republic
39,DZA,72.29947662353516,66,Algeria
40,ECU,74.48397064208984,47,Ecuador
41,EGY,63.36605072021485,105,Egypt
42,ESP,80.29895782470703,15,Spain
43,EST,71.59756469726562,71,Estonia
44,ETH,50.91006851196289,142,Ethiopia
45,FIN,79.59870910644531,17,Finland
46,FRA,80.70027160644531,10,France
47,GAB,57.27436447143555,128,Gabon
48,GBR,78.60645294189453,22,United Kingdom
49,GEO,69.82309722900389,78,Georgia
50,GHA,63.57297134399414,103,Ghana
51,GIN,48.432655334472656,148,Guinea
52,GRC,78.56277465820312,23,Greece
53,GTM,68.94868469238281,81,Guatemala
54,GUY,68.68917083740234,86,Guyana
55,HKG,81.52993774414062,6,Hong Kong
56,HND,72.27220916748047,67,Honduras
57,HRV,74.2993392944336,50,Croatia
58,HUN,74.07373809814453,52,Hungary
59,IDN,66.34004974365234,97,Indonesia
60,IND,59.29930877685547,115,India
61,IRL,78.51757049560547,24,Ireland
62,IRN,70.7257308959961,73,Iran
63,IRQ,57.92911148071289,122,Iraq
64,ISL,83.11932373046875,4,Iceland
65,ISR,78.49866485595703,25,Israel
66,ITA,78.13458251953125,28,Italy
67,JAM,72.49722290039062,64,Jamaica
68,JOR,74.90545654296875,43,Jordan
69,JPN,83.8884506225586,3,Japan
70,KAZ,67.2337646484375,95,Kazakhstan
71,KEN,58.95413208007813,117,Kenya
72,KGZ,69.94008636474611,77,Kyrgyzstan
73,KHM,60.867149353027344,114,Cambodia
74,KOR,77.68737030029297,32,South Korea
75,KWT,77.24714660644531,36,Kuwait
76,LAO,60.9898910522461,112,Laos
77,LBN,69.75592803955078,79,Lebanon
78,LBR,50.90652084350586,143,Liberia
79,LBY,74.35469818115234,49,Libya
80,LKA,75.07901763916016,42,Sri Lanka
81,LSO,57.28805160522461,127,Lesotho
82,LTU,67.43194580078125,94,Lithuania
83,LUX,84.00080108642578,2,Luxembourg
84,LVA,68.02362060546875,88,Latvia
85,MAR,67.71144866943361,91,Morocco
86,MDA,63.9920539855957,100,Moldova
87,MDG,58.36042022705078,120,Madagascar
88,MEX,73.36956024169922,58,Mexico
89,MKD,70.79279327392578,72,Macedonia
90,MLI,55.934547424316406,130,Mali
91,MLT,74.49853515625,46,Malta
92,MNE,71.94242095947266,69,Montenegro
93,MNG,68.50121307373047,87,Mongolia
94,MOZ,54.68153381347656,131,Mozambique
95,MRT,57.33353042602539,126,Mauritania
96,MUS,74.60076141357422,44,Mauritius
97,MWI,61.290794372558594,111,Malawi
