,country,isonum,isocode,year,rank_busi,busi,logis,bband,redu,hifi,affs,ippr,insdtf,creddtf,elcostlnl,stardtf,rank_econ,econ,barrier,amp,parfem,banka,povnahc,povdday,lfpr,urate,eqi,edi,gdp5,rank_soci,soci,vtf,rank_educ,educ,qslnl,secvocp,teryrs,edqualsc,gbrata,secyrs,Ginih15,prcompc,lityf,litaf,rank_envi,envi,fwateruse,airpollution,wasterwater,fishstock,marineprotect,improved_drinkwater,pestreg,terrestprotect,rank_gove,gove,elfcr,trang,womenparl,vapvt,polity2,polrights,geff,rqual,ticpi,judi,rlaw,rank_heal,heal,tblnl,Obesity,mort,meandiabetes,leb,dpt,imeas,impsan,rank_pers,pers,propright,rrgov,rrsoc,lgbt_rights,deathpen,civlib,conscription,pf,rank_safe,safe,warcasual,pts,tdeathslnl5,refugee_oriln,bdeathslnl,rdeathslnl,homilnl
0,Afghanistan,4,AFG,2007,127,35.30816650390625,1.2100000381469729,0.0018975876737385,26.47210693359375,3.6339190006256095,3.852954626083374,2.457772970199585,27.07,6.25,6.426812171936035,82.87,115,53.251712799072266,4.079782962799072,3.438251256942749,14.800000190734863,9.00501346588135,36.29999923706055,20.203929901123047,49.0,8.399999618530273,0.7274746894836426,2.86368989944458,0.0701038390398025,144,37.69165802001953,22.21649932861328,143,22.494400024414062,-7.178584575653076,0.7144360542297363,0.207425832748413,337.58935546875,0.4303900003433227,0.8213441371917725,0.6953747051886792,71.15948486328125,59.360145568847656,25.892309188842773,146,39.29334259033203,43.0116648992577,0.14,0.0,35.32307815551758,13.537367820739746,42.6,0,0.366882031979348,142,29.76030731201172,2.728402137756348,3.3107142448425293,0.273,51.709999084472656,-1,3,-1.403143286705017,-1.6809171438217163,23.56513786315918,2.463554859161377,-1.9243583679199217,140,51.600807189941406,3.485908508300781,2.4,848.8392944335938,6.91350793838501,57.83382926829268,63,55,27.4,142,32.29010391235352,0,5.3,8.5,0,1,3,7.698071002960205,71.0,149,37.24028015136719,3.0,5.0,6.059574127197266,11.679784774780272,5.564810752868652,2.265711545944214,1.3922966718673706
1,Angola,24,AGO,2007,146,27.057371139526367,2.4800000190734863,0.0660538375377655,58.0,3.758013,2.867995,2.3543302953125,0.0,18.75,7.002246856689453,34.94,125,51.74357986450195,3.693691,3.057087,63.09999847412109,39.203540802002,36.59999847412109,30.1299991607666,70.4000015258789,6.699999809265137,0.4609588980674743,6.211559772491455,0.0862266570329666,107,44.95454406738281,0.0,125,35.91666793823242,-7.178584575653076,39.07286071777344,0.0990185290575027,280.8026733398437,0.1583099961280822,1.820328950881958,0.4950167536735534,42.186641693115234,79.37227630615234,71.01438903808594,137,47.98216247558594,0.476891891891892,0.025,0.0,4.5,0.0666226154317625,46.4,3,12.3998228686342,137,30.910104751586918,3.182882,3.515121,0.15,92.41999816894533,-2,2,-1.240326166152954,-1.0442790985107422,27.08539581298828,2.953741,-1.3959321975708008,123,57.914005279541016,2.9558451175689697,8.3,885.0047607421875,4.509121417999268,49.43573170731708,83,88,41.8,113,45.12345886230469,1,3.3,3.7,0,0,3,0.0,63.0,137,53.32512283325195,0.0,3.5,-0.6931471824645996,9.18026351928711,0.2648040354251861,2.9776105880737305,2.3837757110595703
2,Albania,8,ALB,2007,107,40.62637710571289,2.0799999237060547,0.3158338367938995,64.3,4.618207121604761,3.456214,2.201989541099699,39.59,56.25,6.420808792114258,68.21,88,57.97951126098633,3.924613781174696,2.5787923122366445,52.79999923706055,28.2681293487549,18.5,1.1200000047683716,63.70000076293945,13.5,0.8955451846122742,2.833549976348877,0.0595886223018169,124,41.7406120300293,46.29349899291992,72,56.31841278076172,-7.178584575653076,7.345947265625,0.1276478767395019,425.4200134277344,0.0141999721527099,2.9501843452453613,0.0609743240614666,97.8080596923828,99.5388412475586,99.2039566040039,119,51.049442291259766,4.87360594795539,0.275,5.136225,37.09917831420898,1.6240838244711,95.9,5,9.80439967911225,91,42.53165435791016,3.674910000000001,2.915468211070088,0.071,58.959999084472656,9,5,-0.3778320550918579,0.0699380189180374,33.245849609375,2.3776095868811105,-0.6989210844039917,45,74.52774810791016,-1.2039728164672852,16.1,459.6,7.164757251739502,76.47029268292683,98,97,88.9,68,60.27591323852539,1,0.8,0.2,1,0,5,3.0,50.0,61,68.98988342285156,0.0,2.5,-0.6931471824645996,8.549651145935059,-4.2985358238220215,2.186051368713379,1.1988362073898315
3,United Arab Emirates,784,ARE,2007,42,52.79174041748047,3.7300000190734863,6.551272392272949,83.6,4.844747349740812,4.960763,4.84372834259562,28.76,25.0,2.8507065773010254,71.61,43,67.16781616210938,5.81385814195831,3.857830645476532,41.79999923706055,59.7323684692383,4.711562633514404,0.023813996464014,77.30000305175781,3.400000095367432,0.7697293162345886,3.854909896850586,-0.1160987839102745,51,52.18182373046875,0.0,52,59.94295501708984,-7.178584575653076,0.4941915571689605,0.4881069660186767,480.82952880859375,0.0346513390541076,3.390000104904175,0.2340750507099391,95.7570571899414,99.27449798583984,95.21125793457033,50,62.05147933959961,100.0,0.1975,61.3089,30.838836669921875,2.57197104913309,99.6,23,5.61699766163229,59,48.831993103027344,4.89608,5.121250793223468,0.225,0.0,-8,2,0.9246642589569092,0.6400455236434937,57.88764953613281,4.978787094547965,0.3590368926525116,34,77.57512664794922,0.2158738374710083,34.5,547.2,7.055901527404785,76.11117073170732,92,92,97.5,106,49.08757019042969,1,3.9,0.1,0,1,3,10.0,68.0,16,80.37022399902344,0.0,2.0,-0.6931471824645996,3.936658382415772,-4.2985358238220215,2.1474971771240234,-0.2310568690299987
4,Argentina,32,ARG,2007,68,47.438419342041016,2.9800000190734863,6.610501766204834,138.7,2.698406697272482,3.24194,2.831458686241295,37.02,62.5,3.822098255157471,72.77,61,62.476505279541016,3.622244422244423,3.344828083951616,56.09999847412109,33.1302185058594,22.34469413757324,3.490000009536743,69.0,8.5,0.7577115893363953,2.3673698902130127,0.0445653907954692,78,48.40077209472656,65.8169937133789,92,51.99555206298828,-7.178584575653076,6.997117519378662,0.2656077742576599,421.5495910644531,0.0455199480056762,2.496828317642212,0.165125328659071,100.0,97.59426879882812,94.49107360839844,33,64.90972900390625,12.9383561643836,0.005,18.0625,12.28,1.10372557788221,97.7,23,5.46640324127548,84,45.03274154663086,2.086724,2.775971258068445,0.35,70.87999725341797,8,6,-0.0309863425791263,-0.6953365206718445,33.245849609375,2.173863542611996,-0.6331446170806885,48,74.43910217285156,0.4700036346912384,23.7,633.3,9.126663208007812,75.00904878048782,91,94,93.9,55,63.80562210083008,1,1.7,0.6,1,1,6,10.0,47.0,65,68.51971435546875,0.0,2.0,-0.6931471824645996,3.3774867057800293,-4.2985358238220215,2.3795461654663086,1.9588311910629272
5,Armenia,51,ARM,2007,80,46.20021438598633,2.140000104904175,0.1304399371147155,13.0,4.3613944027750025,3.585704,2.6974512436904146,39.36,68.75,5.474369525909424,84.77,123,52.08146667480469,4.086699815837937,2.683905023586531,55.70000076293945,17.4868698120117,27.600000381469727,3.569999933242798,64.9000015258789,28.399999618530277,0.84969562292099,2.9668099880218506,0.0411813743412494,109,44.636024475097656,44.99250030517578,61,59.18342590332031,-7.178584575653076,3.112801074981689,0.6246461868286133,512.86962890625,0.1317199468612671,5.091620445251465,0.079415720608043,98.62464141845705,99.519287109375,99.19015502929688,105,54.19888305664063,41.6678816153958,0.3525,20.9747,35.32307815551758,13.537367820739746,96.7,21,7.99159718847743,109,38.11512756347656,2.941113,3.4845753779935986,0.053,65.1500015258789,5,3,-0.3530841469764709,0.268353521823883,34.125911712646484,2.3102275650921067,-0.4538089632987976,90,67.91763305664062,1.5686159133911133,17.8,746.7,10.287313461303713,73.76465853658539,88,92,89.5,84,55.07895278930664,1,3.4,2.7,1,0,4,0.0,66.0,48,71.59526824951172,0.0,2.5,-0.6931471824645996,8.549814224243164,-4.2985358238220215,1.7404661178588867,0.9459863901138306
6,Australia,36,AUS,2007,4,73.42958068847656,3.7899999618530273,18.69106674194336,4.0,3.9164525233802334,5.109294,5.898719553538831,85.25,87.5,2.3887627124786377,96.33,8,80.69415283203125,5.523817174445666,6.020110336590783,69.5,99.0648422241211,0.1400000005960464,0.0753247290849685,76.30000305175781,4.400000095367432,0.9536511898040771,2.453809976577759,0.0094049451872706,1,67.8072738647461,94.76000213623048,3,78.74781036376953,-1.0611419677734375,31.394556045532227,0.8406438827514648,548.73876953125,0.006350040435791,4.706181526184082,0.0791786406131559,96.9334945678711,99.8393325805664,99.3848876953125,5,73.88429260253906,4.58943089430894,0.0,95.0,42.0966691011659,28.3415279092091,100.0,19,10.5502232414616,10,78.97810363769531,4.753734,5.297188035617616,0.247,82.37999725341797,10,7,1.8240309953689573,1.678668737411499,83.4095230102539,6.398781006378455,1.73542058467865,13,80.61089324951172,-2.3025851249694824,26.0,377.7,7.075125694274902,81.29268292682927,92,94,100.0,9,84.31954956054688,1,1.3,1.8,1,0,7,10.0,21.0,15,80.57516479492188,0.0,1.0,-0.6931471824645996,1.1068557500839231,-4.2985358238220215,2.054123640060425,0.1824969202280044
7,Austria,40,AUT,2007,18,65.7352294921875,4.059999942779541,19.515216827392575,56.3,3.6629393977477434,5.094272999999999,5.873031178950495,77.97,75.0,4.706823825836182,79.41,12,79.40351104736328,5.706039922397411,5.673905143717821,67.4000015258789,97.0817413330078,5.030949592590332,0.0813817381858825,74.19999694824219,4.400000095367432,1.0228899717330933,1.599329948425293,0.0092033389955759,2,67.20408630371094,78.48999786376953,13,76.01275634765625,-2.137636661529541,38.72089385986328,0.4383606910705566,540.7833862304688,0.0315499901771545,5.015740394592285,0.1936343243533326,100.0,99.8376922607422,99.53648376464844,19,68.5673599243164,6.64909090909091,0.3975,76.49605,50.87878036499024,28.02322578430176,100.0,23,22.9247110667546,12,77.44281768798828,5.343908999999999,5.230756946312285,0.322,73.20999908447266,10,7,1.8656481504440308,1.6993204355239868,79.00920104980469,6.061823970508148,1.959169864654541,16,79.66332244873047,-1.2039728164672852,16.7,433.2,5.808597564697266,80.18048780487806,85,79,100.0,30,73.27188873291016,1,2.6,1.1,1,0,7,3.0,21.0,11,81.4877700805664,0.0,2.0,-0.6931471824645996,1.019782543182373,-4.2985358238220215,2.054123640060425,-0.6135582327842712
8,Azerbaijan,31,AZE,2007,86,44.64907836914063,2.289999961853028,0.166474312543869,21.7,5.279471656576774,4.220086,3.0272833393712517,42.53,31.25,6.606379985809326,74.04,103,55.54511642456055,3.5308591178406847,2.969925112902304,65.5999984741211,14.9008502960205,15.800000190734863,0.0,69.0,6.300000190734863,0.6548640131950378,5.678020000457764,0.1419964730739593,139,39.45774841308594,6.070500373840332,46,61.391239166259766,-7.178584575653076,13.06179904937744,0.7750513553619385,476.8475036621094,0.0246999859809875,4.743119716644287,0.1528465896844864,98.13037109375,100.0,99.99549102783205,143,43.4479866027832,100.0,0.155,9.0,35.32307815551758,13.537367820739746,80.2,6,7.14947022281125,130,32.17060470581055,4.053726000000001,3.5791325695581016,0.113,36.02999877929688,-7,2,-0.7653356790542603,-0.4409978985786438,26.205331802368164,2.683015821058374,-0.7899647951126099,104,63.36712646484375,1.2527629137039185,19.4,730.1,8.589842796325684,69.75651219512197,79,75,76.8,114,44.87109375,1,5.0,2.9,1,0,3,1.0,77.0,83,64.28309631347656,0.0,3.0,-0.6931471824645996,7.525494575500488,-4.2985358238220215,0.0,0.6965481638908386
9,Burundi,108,BDI,2007,143,29.764497756958008,2.289999961853028,0.0018552272813394,26.0,4.039704719963866,2.760615,2.05013356055974,7.49,18.75,10.669431686401367,61.57,146,43.58687973022461,3.4743589743589745,2.6375,84.0999984741211,7.23798418045044,67.0999984741211,77.6500015258789,83.19999694824219,7.199999809265137,0.7642613053321838,4.1173601150512695,0.022072410210967,147,34.53563690185547,61.78400421142578,136,27.288427352905277,-7.178584575653076,6.015861511230469,0.0201413929462432,314.42059326171875,0.1232200264930725,0.3930103480815887,0.6015159035302342,37.95439910888672,72.47755432128906,59.01874923706055,101,54.7981071472168,2.86282306163022,0.125,0.0,35.32307815551758,13.537367820739746,73.8,19,4.84938102136901,116,37.00841522216797,2.479858,3.845556346945236,0.305,70.38999938964844,6,4,-1.2351369857788086,-1.2396348714828491,29.725589752197266,2.0206828703703703,-1.0892809629440308,113,60.89915466308594,3.787709951400757,2.0,837.2401123046875,2.07353949546814,53.456073170731706,99,88,46.1,116,44.7602653503418,1,0.4,0.9,0,1,3,10.0,74.0,134,53.68046569824219,0.0,4.0,2.8704092502593994,10.694838523864746,-4.2985358238220215,2.8430182933807373,1.3747159242630005
