isocode,sub-region,sub-region-score,Year,Prosperity Growth
AFG,Southern Asia,0.2417285253131201,2008,-0.011916902330185053
AGO,Sub-Saharan Africa,0.1966062009358823,2008,0.6736416286892322
ALB,Southern Europe,0.25529253520662787,2008,1.18386798434787
ARE,Western Asia,0.11970141955784389,2008,0.5550219217936174
ARG,Latin America and the Caribbean,0.19918489028372544,2008,-0.5568728976779482
ARM,Western Asia,0.11970141955784389,2008,-0.4217537773980098
AUS,Australia and New Zealand,0.0062095399886845015,2008,0.12734391954209912
AUT,Western Europe,0.15470879310383043,2008,0.4344236585829009
AZE,Western Asia,0.11970141955784389,2008,1.609816233317055
BDI,Sub-Saharan Africa,0.1966062009358823,2008,0.07561535305447364
BEL,Western Europe,0.15470879310383043,2008,-0.140466901991104
BEN,Sub-Saharan Africa,0.1966062009358823,2008,-0.4417762756347656
BFA,Sub-Saharan Africa,0.1966062009358823,2008,0.37266943189833057
BGD,Southern Asia,0.2417285253131201,2008,0.11273108588324732
BGR,Eastern Europe,0.266389516800169,2008,0.13772201538085938
BHR,Western Asia,0.11970141955784389,2008,0.5041737026638486
BLR,Eastern Europe,0.266389516800169,2008,-0.15006807115342724
BLZ,Latin America and the Caribbean,0.19918489028372544,2008,0.23626497056748974
BOL,Latin America and the Caribbean,0.19918489028372544,2008,-0.6237860785590286
BRA,Latin America and the Caribbean,0.19918489028372544,2008,0.649150424533417
BWA,Sub-Saharan Africa,0.1966062009358823,2008,0.20170466105142992
CAF,Sub-Saharan Africa,0.1966062009358823,2008,0.4910924699571453
CAN,Northern America,0.03483581542968851,2008,0.12201266818577494
CHE,Western Europe,0.15470879310383043,2008,0.43833245171441604
CHL,Latin America and the Caribbean,0.19918489028372544,2008,-0.3375248379177549
CHN,Eastern Asia,0.10904252794053804,2008,0.27813042534722143
CIV,Sub-Saharan Africa,0.1966062009358823,2008,0.14331965976290917
CMR,Sub-Saharan Africa,0.1966062009358823,2008,-0.3723481496175083
COD,Sub-Saharan Africa,0.1966062009358823,2008,-0.7877330780029297
COG,Sub-Saharan Africa,0.1966062009358823,2008,0.10070186191134667
COL,Latin America and the Caribbean,0.19918489028372544,2008,-0.10047276814778172
COM,Sub-Saharan Africa,0.1966062009358823,2008,0.6691294776068801
CRI,Latin America and the Caribbean,0.19918489028372544,2008,-0.5895623101128535
CYP,Western Asia,0.11970141955784389,2008,0.28338877360026515
CZE,Eastern Europe,0.266389516800169,2008,0.4457439846462705
DEU,Western Europe,0.15470879310383043,2008,0.27368333604600537
DJI,Sub-Saharan Africa,0.1966062009358823,2008,0.052478790283203125
DNK,Northern Europe,0.19307814704047296,2008,0.031654781765411144
DOM,Latin America and the Caribbean,0.19918489028372544,2008,-0.7350239223904111
DZA,Northern Africa,-0.17422699802136268,2008,-0.3443806966145857
ECU,Latin America and the Caribbean,0.19918489028372544,2008,-0.7912551032172317
EGY,Northern Africa,-0.17422699802136268,2008,0.7482927110460125
ESP,Southern Europe,0.25529253520662787,2008,0.11825942993164062
EST,Northern Europe,0.19307814704047296,2008,0.4503835042317661
ETH,Sub-Saharan Africa,0.1966062009358823,2008,1.2068076663547131
FIN,Northern Europe,0.19307814704047296,2008,-0.11293284098307765
FRA,Western Europe,0.15470879310383043,2008,0.15955395168727193
GAB,Sub-Saharan Africa,0.1966062009358823,2008,0.14929495917426294
GBR,Northern Europe,0.19307814704047296,2008,-0.6260426839192661
GEO,Western Asia,0.11970141955784389,2008,1.2280171712239536
GHA,Sub-Saharan Africa,0.1966062009358823,2008,-0.5406833224826428
GIN,Sub-Saharan Africa,0.1966062009358823,2008,-0.1553340488009951
GRC,Southern Europe,0.25529253520662787,2008,0.5993465847439268
GTM,Latin America and the Caribbean,0.19918489028372544,2008,1.1599913703070754
GUY,Latin America and the Caribbean,0.19918489028372544,2008,-0.13750839233398438
HKG,Eastern Asia,0.10904252794053804,2008,-0.2332717047797246
HND,Latin America and the Caribbean,0.19918489028372544,2008,0.18606864081488794
HRV,Southern Europe,0.25529253520662787,2008,0.4261839124891509
HUN,Eastern Europe,0.266389516800169,2008,-0.06109915839301294
IDN,South-eastern Asia,0.3039828027997696,2008,0.48033820258246607
IND,Southern Asia,0.2417285253131201,2008,-0.25123257107205177
IRL,Northern Europe,0.19307814704047296,2008,0.1164957682291714
IRN,Southern Asia,0.2417285253131201,2008,-0.20371097988552833
IRQ,Western Asia,0.11970141955784389,2008,0.6716403961181641
ISL,Northern Europe,0.19307814704047296,2008,0.4466408623589473
ISR,Western Asia,0.11970141955784389,2008,-0.06159845987955492
ITA,Southern Europe,0.25529253520662787,2008,-1.5924856397840728
JAM,Latin America and the Caribbean,0.19918489028372544,2008,0.09575610690647096
JOR,Western Asia,0.11970141955784389,2008,-0.7808375888400576
JPN,Eastern Asia,0.10904252794053804,2008,-0.6643490261501768
KAZ,Central Asia,0.4199508788093687,2008,0.2137607998318103
KEN,Sub-Saharan Africa,0.1966062009358823,2008,-1.6673762003580705
KGZ,Central Asia,0.4199508788093687,2008,0.8244573805067219
KHM,South-eastern Asia,0.3039828027997696,2008,2.6535627577039875
KOR,Eastern Asia,0.10904252794053804,2008,-0.34244452582465357
KWT,Western Asia,0.11970141955784389,2008,-0.42525906032985716
LAO,South-eastern Asia,0.3039828027997696,2008,1.152982076009117
LBN,Western Asia,0.11970141955784389,2008,-1.004868825276695
LBR,Sub-Saharan Africa,0.1966062009358823,2008,0.4736037784152529
LBY,Northern Africa,-0.17422699802136268,2008,0.01955392625597341
LKA,Southern Asia,0.2417285253131201,2008,1.4572787814670107
LSO,Sub-Saharan Africa,0.1966062009358823,2008,0.548922220865883
LTU,Northern Europe,0.19307814704047296,2008,0.41988881429036695
LUX,Western Europe,0.15470879310383043,2008,-0.009537590874558077
LVA,Northern Europe,0.19307814704047296,2008,-0.3046213785807268
MAR,Northern Africa,-0.17422699802136268,2008,0.11620415581597143
MDA,Eastern Europe,0.266389516800169,2008,0.04144202338324732
MDG,Sub-Saharan Africa,0.1966062009358823,2008,-0.20295800103081518
MEX,Latin America and the Caribbean,0.19918489028372544,2008,-0.2672975328233562
MKD,Southern Europe,0.25529253520662787,2008,1.093544854058159
MLI,Sub-Saharan Africa,0.1966062009358823,2008,0.2440611521402971
MLT,Southern Europe,0.25529253520662787,2008,-0.13548999362522807
