,country,year,busi,econ,educ,envi,gove,heal,pers,safe,soci,prosperity
0,Afghanistan,2007,35.30816650390625,53.251712799072266,22.494400024414062,39.29334259033203,29.76030731201172,51.600807189941406,32.29010391235352,37.24028015136719,37.69165802001953,37.65897538926866
1,Angola,2007,27.057371139526367,51.74357986450195,35.91666793823242,47.98216247558594,30.910104751586918,57.914005279541016,45.12345886230469,53.32512283325195,44.95454406738281,43.88077969021268
2,Albania,2007,40.62637710571289,57.97951126098633,56.31841278076172,51.049442291259766,42.53165435791016,74.52774810791016,60.27591323852539,68.98988342285156,41.7406120300293,54.89328384399414
3,United Arab Emirates,2007,52.79174041748047,67.16781616210938,59.94295501708984,62.05147933959961,48.831993103027344,77.57512664794922,49.08757019042969,80.37022399902344,52.18182373046875,61.111192067464195
4,Argentina,2007,47.438419342041016,62.476505279541016,51.99555206298828,64.90972900390625,45.03274154663086,74.43910217285156,63.80562210083008,68.51971435546875,48.40077209472656,58.55757310655382
5,Armenia,2007,46.20021438598633,52.08146667480469,59.18342590332031,54.19888305664063,38.11512756347656,67.91763305664062,55.07895278930664,71.59526824951172,44.636024475097656,54.33411068386502
6,Australia,2007,73.42958068847656,80.69415283203125,78.74781036376953,73.88429260253906,78.97810363769531,80.61089324951172,84.31954956054688,80.57516479492188,67.8072738647461,77.67186906602647
7,Austria,2007,65.7352294921875,79.40351104736328,76.01275634765625,68.5673599243164,77.44281768798828,79.66332244873047,73.27188873291016,81.4877700805664,67.20408630371094,74.30986022949219
8,Azerbaijan,2007,44.64907836914063,55.54511642456055,61.391239166259766,43.4479866027832,32.17060470581055,63.36712646484375,44.87109375,64.28309631347656,39.45774841308594,49.909232245551216
9,Burundi,2007,29.764497756958008,43.58687973022461,27.288427352905277,54.7981071472168,37.00841522216797,60.89915466308594,44.7602653503418,53.68046569824219,34.53563690185547,42.924649980333115
10,Belgium,2007,66.91303253173828,78.99835968017578,78.60084533691406,56.15692901611328,73.6083984375,81.34881591796875,85.22164916992188,78.13798522949219,59.49873352050781,73.16497209337022
11,Benin,2007,34.1645393371582,52.07169723510742,25.514373779296875,56.9712028503418,49.20257568359375,54.60943603515625,63.34137344360352,65.48629760742188,36.403934478759766,48.640603383382164
12,Burkina Faso,2007,34.69198989868164,53.58271026611328,21.897518157958984,58.274375915527344,37.106441497802734,58.92871475219727,61.00746536254883,70.42594909667969,41.55522918701172,48.60782157050239
13,Bangladesh,2007,46.2121467590332,55.02722930908203,36.68133163452149,48.95857620239258,35.28449630737305,65.07501220703125,44.77117538452149,68.11898803710938,43.49972915649414,49.292076110839844
14,Bulgaria,2007,47.71453475952149,61.67065048217773,62.44620513916016,53.858245849609375,50.8016357421875,68.90377044677734,64.90467834472656,71.12898254394531,42.63509368896485,58.229310777452255
15,Bahrain,2007,53.72160720825195,66.84172058105469,62.83097076416016,52.63540267944336,48.61066436767578,77.6536865234375,43.90726089477539,77.00466918945312,53.04727554321289,59.583695305718315
16,Belarus,2007,38.71923065185547,64.58197021484375,62.94303131103516,60.665077209472656,30.78482437133789,67.52825164794922,38.84927749633789,66.5967788696289,40.6600456237793,52.36983193291558
17,Belize,2007,47.05191040039063,58.71245956420898,51.44474029541016,63.02024841308594,47.74314880371094,72.72271728515625,60.96698760986328,64.56396484375,50.025821685791016,57.36133321126302
18,Bolivia,2007,38.402252197265625,56.17919158935547,53.03932571411133,58.22491455078125,41.69028854370117,63.9848518371582,60.81941223144531,63.31742858886719,49.45723342895508,53.90165540907118
19,Brazil,2007,46.084468841552734,67.53085327148438,52.86373519897461,69.54718780517578,48.032958984375,72.31058502197266,65.73212432861328,62.789546966552734,53.179229736328125,59.7856322394477
20,Botswana,2007,46.90789413452149,58.64061737060547,55.16961288452149,63.27473068237305,65.3326416015625,68.91158294677734,66.03157806396484,62.5155143737793,52.1627311706543,59.882989247639976
21,Central African Republic,2007,32.341670989990234,47.06525802612305,14.890825271606444,57.75108337402344,30.621109008789062,48.61004638671875,39.125755310058594,45.64458847045898,49.44056701660156,40.610100428263344
22,Canada,2007,72.961181640625,80.0583267211914,76.57344818115234,70.29411315917969,78.2316665649414,80.3747329711914,91.07091522216795,78.72323608398438,65.7699966430664,77.11751302083333
23,Switzerland,2007,71.49959564208984,78.86688995361328,76.62126159667969,72.69436645507812,79.6859359741211,82.21589660644531,82.0792465209961,81.97004699707031,61.28546142578125,76.32430013020833
24,Chile,2007,54.85770034790039,63.71797943115234,65.61698913574219,67.55792999267578,67.3807144165039,73.8956069946289,58.329891204833984,69.77238464355469,53.621368408203125,63.86117384168837
25,China,2007,49.2413215637207,69.18450927734375,64.33670806884766,48.00870895385742,34.805686950683594,72.5484619140625,38.44559097290039,71.09078979492188,40.90909194946289,54.28565216064453
26,Ivory Coast,2007,34.98857879638672,50.44039535522461,26.36052894592285,57.1962776184082,24.882797241210938,52.79853820800781,51.35601806640625,59.06770324707031,40.2168197631836,44.145295249091255
27,Cameroon,2007,36.13387680053711,52.99673080444336,39.13436508178711,56.11991882324219,27.537111282348636,57.42636489868164,39.05340576171875,62.19700622558594,47.52740859985352,46.45846536424425
28,Democratic Republic of Congo,2007,29.71253776550293,44.54039001464844,25.522464752197266,43.459938049316406,32.023345947265625,49.67464447021485,34.75394821166992,40.69724655151367,41.21443176269531,37.9554386138916
29,Congo,2007,35.71946716308594,43.187255859375,38.72206497192383,55.893463134765625,26.19988250732422,51.10459899902344,45.344852447509766,58.56467056274414,40.40036010742188,43.90406841701932
30,Colombia,2007,52.492286682128906,59.20808410644531,52.01865005493164,66.14212036132812,46.91220474243164,72.91250610351562,64.2259521484375,43.52941131591797,53.92802429199219,56.81880442301432
31,Comoros,2007,33.35654830932617,45.91246032714844,28.475486755371094,54.32350158691406,34.84197998046875,54.62810516357422,35.07877731323242,59.596336364746094,41.86363220214844,43.11964755588107
32,Costa Rica,2007,49.10109329223633,65.27549743652344,60.03422164916992,66.40392303466797,62.54195022583008,77.83390045166016,81.17053985595703,69.59298706054688,55.96045684814453,65.3238410949707
33,Cyprus,2007,56.7593994140625,75.44066619873047,59.57119369506836,59.9717025756836,70.193603515625,77.74566650390625,71.89177703857422,78.16726684570312,54.8636360168457,67.17832353379991
34,Czech Republic,2007,51.31828689575195,73.28256225585938,68.36031341552734,63.35489273071289,60.5152473449707,77.41789245605469,77.12891387939453,74.98445129394531,48.23847579956055,66.06678178575304
35,Germany,2007,67.78285217285156,80.81075286865234,74.63958740234375,67.20240020751953,77.18417358398438,80.6650161743164,77.70743560791016,82.93441009521484,60.84773635864258,74.4193738301595
36,Djibouti,2007,28.918027877807617,52.56313705444336,51.19594192504883,61.33586883544922,38.09634399414063,62.401817321777344,55.41812896728516,65.00688171386719,52.04781723022461,51.88710721333822
37,Denmark,2007,73.01057434082031,83.71195220947266,77.94743347167969,63.19897079467773,85.90428924560547,78.4373550415039,81.54666137695312,83.99838256835938,65.2086410522461,76.99602890014648
38,Dominican Republic,2007,46.60560989379883,56.68277740478516,49.69100570678711,71.58332061767578,46.42784881591797,70.62284088134766,75.81423950195312,60.64470291137695,52.85518264770508,58.99194759792752
39,Algeria,2007,42.19145965576172,53.17362594604492,52.91832733154297,63.2404670715332,36.43183517456055,72.29947662353516,37.06086730957031,63.56864547729492,44.37754821777344,51.69580586751302
40,Ecuador,2007,39.49153900146485,56.52446746826172,51.57505416870117,70.85189819335938,38.04984664916992,74.48397064208984,60.230262756347656,62.17366027832031,46.89204406738281,55.585860358344185
41,Egypt,2007,36.86327362060547,58.61027908325195,51.60615539550781,48.17201614379883,38.36933517456055,63.36605072021485,32.67728805541992,69.9237289428711,41.26570892333984,48.98375956217448
42,Spain,2007,59.83027267456055,75.4856948852539,70.2579345703125,67.10073852539062,67.20825958251953,80.29895782470703,86.13465118408203,76.74177551269531,56.39364242553711,71.05021413167317
43,Estonia,2007,55.82028579711914,73.2643051147461,64.99907684326172,69.35150909423828,65.99798583984375,71.59756469726562,69.1711196899414,70.14618682861328,46.67338562011719,65.22460216946072
44,Ethiopia,2007,39.707637786865234,58.29362106323242,31.0113582611084,49.81290817260742,39.2099723815918,50.91006851196289,46.701698303222656,56.41617202758789,42.17772674560547,46.02679591708713
45,Finland,2007,73.24717712402344,81.19776916503906,76.45640563964844,76.33759307861328,84.40656280517578,79.59870910644531,80.6948013305664,80.8897933959961,60.86455154418945,77.07704035441081
46,France,2007,63.883888244628906,78.37151336669922,72.60662841796875,70.009033203125,69.03498077392578,80.70027160644531,76.06546020507812,77.87024688720703,58.72641372680664,71.91871515909831
47,Gabon,2007,40.94690704345703,45.35175704956055,47.51426696777344,59.315914154052734,32.46957778930664,57.27436447143555,50.695091247558594,56.04828643798828,42.5,48.01290724012587
48,United Kingdom,2007,73.46446228027344,80.259033203125,75.5850830078125,74.27351379394531,75.46841430664062,78.60645294189453,84.05052185058594,76.40546417236328,61.38001251220703,75.49921756320529
49,Georgia,2007,41.68360137939453,55.42243576049805,58.83165740966797,51.44496536254883,40.89360427856445,69.8230972290039,50.494117736816406,59.95302200317383,39.279273986816406,51.98064168294271
50,Ghana,2007,39.94595718383789,60.21459579467773,44.05804061889648,59.10603332519531,57.47051239013672,63.57297134399414,62.21504974365234,67.73715209960938,55.11854934692383,56.60431798299154
51,Guinea,2007,35.19837188720703,45.95039367675781,22.239288330078125,60.84736633300781,34.83744812011719,48.432655334472656,49.63249969482422,55.047977447509766,46.79050064086914,44.330722384982636
52,Greece,2007,47.12190246582031,71.13190460205078,59.16713333129883,64.5096435546875,61.93209457397461,78.56277465820312,63.019805908203125,77.57604217529297,45.14273071289063,63.12933688693576
53,Guatemala,2007,47.22172546386719,60.67373275756836,45.47670364379883,64.58024597167969,42.261505126953125,68.94868469238281,51.33821487426758,61.87921905517578,51.51881408691406,54.877649519178604
54,Guyana,2007,38.973087310791016,56.83537292480469,52.40874862670898,61.980716705322266,45.78580474853516,68.68917083740234,60.01464080810547,65.0151138305664,54.54800033569336,56.02785068088107
55,Hong Kong,2007,75.78833770751953,75.66778564453125,73.34815216064453,56.05790710449219,65.93148803710938,81.52993774414062,70.6833267211914,84.8575439453125,52.409088134765625,70.69706302218967
56,Honduras,2007,50.15356063842773,54.50689697265625,51.528133392333984,59.26461791992188,42.190086364746094,72.27220916748047,63.836055755615234,59.39493179321289,51.09429931640625,56.02675459120009
57,Croatia,2007,45.8751220703125,65.97271728515625,64.21524047851562,57.55375671386719,52.62928771972656,74.2993392944336,65.76888275146484,75.32318115234375,41.84550476074219,60.387003580729164
58,Hungary,2007,52.44927978515625,67.72413635253906,62.98116302490234,48.7602424621582,60.348236083984375,74.07373809814453,73.70628356933594,74.22212219238281,48.616817474365234,62.542446560329864
59,Indonesia,2007,46.83797836303711,63.5939826965332,53.14390182495117,57.85122680664063,47.877723693847656,66.34004974365234,38.27246856689453,73.63910675048828,50.80368041992188,55.37334654066298
60,India,2007,49.00666046142578,63.884090423583984,46.92000579833984,47.82561492919922,58.58099365234375,59.29930877685547,48.69853210449219,51.68043518066406,38.78030014038086,51.630660163031685
61,Ireland,2007,68.56892395019531,78.1685562133789,76.57611846923828,71.80905151367188,75.6434326171875,78.51757049560547,86.09733581542969,79.91641235351562,65.0013656616211,75.58875189887152
62,Iran,2007,41.60147476196289,55.02167892456055,53.40831756591797,54.60644912719727,32.07432556152344,70.7257308959961,27.37955665588379,58.94451904296875,47.81818389892578,49.06447071499295
63,Iraq,2007,32.13236618041992,43.98105239868164,36.0426139831543,36.28181838989258,29.51379776000977,57.92911148071289,28.4361515045166,43.585716247558594,43.03452301025391,38.99301677280002
64,Iceland,2007,69.8143539428711,78.07746124267578,66.26317596435547,70.208251953125,79.98565673828125,83.11932373046875,85.26529693603516,82.37683868408203,63.89091110229492,75.44458558824327
65,Israel,2007,61.87075805664063,73.40707397460938,71.31610870361328,50.00926971435547,65.4189224243164,78.49866485595703,53.170257568359375,63.11334228515625,51.35636901855469,63.12897406684028
66,Italy,2007,52.8761100769043,72.85773468017578,70.57079315185547,63.97476196289063,57.98945617675781,78.13458251953125,75.27562713623047,77.9935302734375,55.937278747558594,67.28998608059354
67,Jamaica,2007,50.41394805908203,61.25767135620117,53.90437316894531,62.96938705444336,50.51233673095703,72.49722290039062,63.10335922241211,60.000282287597656,52.6990966796875,58.595297495524086
68,Jordan,2007,42.075809478759766,59.51833724975586,56.387454986572266,58.5479736328125,48.55573654174805,74.90545654296875,43.98018646240234,74.46345520019531,44.99545669555664,55.936651865641274
69,Japan,2007,65.54899597167969,75.35958862304688,72.26463317871094,60.804344177246094,69.14690399169922,83.8884506225586,67.18891906738281,84.09196472167969,51.4754524230957,69.97436141967773
70,Kazakhstan,2007,47.26383209228516,62.05108642578125,64.01741790771484,56.56510543823242,33.64683151245117,67.2337646484375,43.06631851196289,64.88011169433594,41.30372619628906,53.33646604749892
71,Kenya,2007,49.95676803588867,53.79568862915039,49.0947380065918,56.39497756958008,42.06580352783203,58.954132080078125,52.122314453125,53.928672790527344,55.623931884765625,52.437447441948784
72,Kyrgyzstan,2007,45.80470275878906,56.007301330566406,56.41444778442383,57.4515266418457,31.92460250854492,69.9400863647461,49.51507568359375,64.16121673583984,45.63090896606445,52.98331875271268
73,Cambodia,2007,33.321468353271484,54.28279113769531,51.17394256591797,53.336334228515625,37.3731803894043,60.867149353027344,53.04335403442383,59.41368865966797,41.72418212890625,49.39289898342557
74,South Korea,2007,56.59375,72.31857299804688,73.25453186035156,54.08829498291016,61.92662048339844,77.68737030029297,59.44186019897461,76.16957092285156,47.04463958740234,64.2805790371365
75,Kuwait,2007,50.65455627441406,66.06365966796875,53.042816162109375,57.05751800537109,47.31182861328125,77.24714660644531,50.94689178466797,76.69145202636719,56.4903678894043,59.500693003336586
76,Laos,2007,43.51552200317383,64.927490234375,45.22093200683594,51.01088333129883,35.34919738769531,60.989891052246094,44.697792053222656,65.0899658203125,52.36199951171875,51.462630377875435
77,Lebanon,2007,41.97889709472656,60.235233306884766,51.35845565795898,60.08940505981445,38.44511795043945,69.75592803955078,50.6566162109375,65.753662109375,50.82617950439453,54.34438832600912
78,Liberia,2007,40.46562194824219,46.003604888916016,25.768047332763672,58.186065673828125,47.197635650634766,50.90652084350586,50.84922790527344,50.34111785888672,52.78145599365234,46.944366455078125
79,Libya,2007,37.47756576538086,52.31569290161133,45.551876068115234,48.31854248046875,30.12551689147949,74.35469818115234,27.989089965820312,63.27560043334961,53.590911865234375,48.11105495029025
80,Sri Lanka,2007,40.940223693847656,62.058876037597656,59.9355583190918,62.112701416015625,48.823997497558594,75.07901763916016,44.41372680664063,44.46879196166992,50.85309219360352,54.29844284057617
81,Lesotho,2007,39.5158576965332,42.79292678833008,41.40312957763672,51.28365707397461,45.58595657348633,57.28805160522461,56.59661102294922,58.05934524536133,48.18636703491211,48.967989179823135
82,Lithuania,2007,51.03799057006836,69.3746566772461,59.52992248535156,59.07110595703125,56.49786758422852,67.43194580078125,66.6939468383789,68.97278594970703,37.81999969482422,59.60335795084635
83,Luxembourg,2007,58.13689422607422,80.81192016601562,66.0371322631836,73.36929321289062,79.18881225585938,84.00080108642578,86.50301361083984,82.50595092773438,61.6218147277832,74.68618138631184
84,Latvia,2007,51.76066589355469,68.67546081542969,64.01480102539062,65.59081268310547,54.60382843017578,68.02362060546875,65.47803497314453,70.82866668701172,46.267364501953125,61.693695068359375
85,Morocco,2007,45.40107345581055,59.71297073364258,39.272003173828125,58.32529067993164,39.27504348754883,67.7114486694336,43.49038314819336,70.56077575683594,42.06364059448242,51.756958855523
86,Moldova,2007,42.891868591308594,57.92026519775391,59.37179183959961,42.8070068359375,42.23601150512695,63.9920539855957,50.72666931152344,62.35492706298828,45.43627548217773,51.97076331244575
87,Madagascar,2007,36.95037841796875,46.72289276123047,32.425777435302734,52.850196838378906,45.86480331420898,58.36042022705078,52.88687896728516,67.25762176513672,41.03096008300781,48.26110331217448
88,Mexico,2007,54.85244369506836,62.380348205566406,60.11402130126953,60.17673110961914,50.6264877319336,73.36956024169922,60.1010627746582,59.46743392944336,47.72772979736328,58.75731319851346
89,Macedonia,2007,42.282997131347656,52.23447799682617,63.86691284179688,55.342559814453125,45.93526840209961,70.79279327392578,63.879127502441406,70.27278137207031,42.19004821777344,56.31077406141493
90,Mali,2007,34.34625244140625,47.814918518066406,16.40875244140625,46.54981994628906,45.81566619873047,55.934547424316406,59.20097732543945,67.43268585205078,44.289161682128906,46.42142020331489
91,Malta,2007,49.59149932861328,67.4370346069336,62.53173828125,55.44223785400391,69.23626708984375,74.49853515625,78.01033020019531,80.77642822265625,60.850006103515625,66.4860085381402
92,Montenegro,2007,44.154205322265625,58.87152099609375,60.22817611694336,47.944297790527344,46.40496444702149,71.94242095947266,64.43468475341797,74.32220458984375,44.974891662597656,57.03081851535373
93,Mongolia,2007,44.30915832519531,57.8468132019043,59.86371612548828,54.25779342651367,44.55387115478516,68.50121307373047,56.31093978881836,62.62114715576172,47.76545715332031,55.11445660061307
